feature,coef,abs_coef
one_hot_encoded__BsmtCond_Fa,-0.1401080136543116,0.1401080136543116
one_hot_encoded__Foundation_Wood,-0.1351283224934372,0.1351283224934372
one_hot_encoded__SaleType_COD,-0.13292140335783234,0.13292140335783234
one_hot_encoded__BsmtQual_Ex,0.12544446666147865,0.12544446666147865
one_hot_encoded__GarageType_CarPort,-0.11887656614965622,0.11887656614965622
one_hot_encoded__Exterior2nd_BrkFace,0.11667435446887316,0.11667435446887316
one_hot_encoded__BsmtExposure_Gd,0.11510768866093865,0.11510768866093865
target_encoded__Neighborhood,0.10228246696623587,0.10228246696623587
log_standardized__YearBuilt,0.09771618064749155,0.09771618064749155
ordinal_encoded_data_error__Functional,0.09276718442381524,0.09276718442381524
one_hot_encoded__Exterior2nd_Plywood,-0.08589554500758236,0.08589554500758236
standardized__TotRmsAbvGrd,0.08379265337596332,0.08379265337596332
eq_val_label__Condition2,-0.07820446055505695,0.07820446055505695
one_hot_encoded__LotConfig_CulDSac,0.07454147912359352,0.07454147912359352
one_hot_encoded__SaleType_WD,-0.07326769791479823,0.07326769791479823
log_standardized__LotArea,0.07322966572011992,0.07322966572011992
one_hot_encoded__Foundation_PConc,0.07221987986690546,0.07221987986690546
one_hot_encoded__HouseStyle_1.5Unf,0.07088345273109682,0.07088345273109682
one_hot_encoded__BsmtFinType2_BLQ,-0.07055717076037636,0.07055717076037636
log_standardized__GrLivArea,0.06870418631774106,0.06870418631774106
one_hot_encoded__Condition1_Norm,0.06847465715600179,0.06847465715600179
one_hot_encoded__Exterior2nd_Stucco,0.06343520649757792,0.06343520649757792
standardized__AreaPerRooms,0.06340708178783563,0.06340708178783563
one_hot_encoded__LotConfig_FR2,-0.06115379052205216,0.06115379052205216
one_hot_encoded__ExterQual_Fa,0.0599082455257497,0.0599082455257497
standardized__GarageArea,0.05986411865615457,0.05986411865615457
one_hot_encoded__GarageType_2Types,-0.058114932803808195,0.058114932803808195
one_hot_encoded__MasVnrType_Stone,0.05700820942233208,0.05700820942233208
log_standardized__BsmtFinSF1,0.05447487064404997,0.05447487064404997
one_hot_encoded__HouseStyle_2Story,-0.05331847616378297,0.05331847616378297
one_hot_encoded__ExterQual_TA,-0.05247099988327823,0.05247099988327823
one_hot_encoded__HeatingQC_Ex,0.05065435131702513,0.05065435131702513
standardized__BathScore,0.049393000174929855,0.049393000174929855
one_hot_encoded__SaleType_ConLD,0.04751407158875763,0.04751407158875763
one_hot_encoded__BldgType_1Fam,0.045787698869912095,0.045787698869912095
log_standardized__TotalBsmtSF,-0.045238683792924644,0.045238683792924644
standardized__BuildingAgeAtSale,-0.04419338729824066,0.04419338729824066
standardized__KitchenAbvGr,-0.04337803957918316,0.04337803957918316
ordinal_encoded_no_feature__GarageQual,0.0433081107143446,0.0433081107143446
one_hot_encoded__ExterCond_Gd,-0.04087372906801302,0.04087372906801302
one_hot_encoded__Exterior2nd_HdBoard,-0.04080929139739811,0.04080929139739811
one_hot_encoded__Condition1_PosN,0.03974540121249536,0.03974540121249536
map_label__CentralAir,0.039625661925815306,0.039625661925815306
standardized__Fireplaces,0.039603298229883455,0.039603298229883455
standardized__IsOverAllGE9,0.03626841161754248,0.03626841161754248
eq_val_label__SaleCondition,0.034188316718138316,0.034188316718138316
one_hot_encoded__BldgType_2fmCon,0.032666767228720014,0.032666767228720014
one_hot_encoded__Exterior2nd_Wd Shng,-0.03157707669686439,0.03157707669686439
one_hot_encoded__BsmtExposure_No,-0.031104407643250977,0.031104407643250977
one_hot_encoded__Foundation_BrkTil,-0.030986826899218268,0.030986826899218268
one_hot_encoded__BsmtFinType1_LwQ,-0.03086063356611056,0.03086063356611056
one_hot_encoded__ExterQual_Gd,-0.029985429166141973,0.029985429166141973
one_hot_encoded__Exterior2nd_Brk Cmn,-0.02964221787626283,0.02964221787626283
one_hot_encoded__SaleType_Oth,0.02913204955388901,0.02913204955388901
one_hot_encoded__BsmtQual_TA,-0.028601204533199188,0.028601204533199188
is_zero_label__ScreenPorch,0.026638630915649997,0.026638630915649997
standardized__GarageCars,0.02661445316972096,0.02661445316972096
one_hot_encoded__GarageType_Detchd,0.026264927928877572,0.026264927928877572
one_hot_encoded__HouseStyle_1.5Fin,-0.02594984945793313,0.02594984945793313
ordinal_encoded_data_error__KitchenQual,0.025052145377179733,0.025052145377179733
one_hot_encoded__BsmtFinType1_Rec,-0.024726427490423565,0.024726427490423565
one_hot_encoded__Condition1_RRAn,0.02360061083361642,0.02360061083361642
is_zero_label__MiscVal,-0.022871398906227764,0.022871398906227764
one_hot_encoded__ExterQual_Ex,0.022630822877361713,0.022630822877361713
one_hot_encoded__Foundation_Stone,0.022390488172304424,0.022390488172304424
one_hot_encoded__BsmtFinType2_ALQ,0.02195526011983251,0.02195526011983251
is_na_label__missingindicator_MiscFeature,-0.020787762556683884,0.020787762556683884
